Ringo dzisiaj złamał nogę.   Stan hodowli: Konie sportowe-Wulkan:1;Tornado:2 Konie hodowlane-Nektar:3;Sahara:4 Konie rekreacyjne-Kropek:5;Ringo:6;Lori:7 Źrebaki-Fado:8 Kowale-Kamil Jagoda:1 Weterynarze-Sylwia Dobek:1  Dzisiaj jest 15.05.2025	{kon: 6,dataRozpoczecia: "2025-05-15",opisZdarzenia:"Złamana noga"}													
13 maja byłam u weterynarza z Różą, Lena stwierdziła, że ma wrzody.  Stan hodowli: Konie sportowe-Błysk:1;Mistral:2;Nimbus:3 Konie hodowlane-Wanda:4;Zorza:5;Róża:6;Karma:7 Konie rekreacyjne-Dino:8;Malwa:9 Źrebaki-Ptyś:10;Figiel:11 Kowale-Rafał Wolski:1;Mikołaj Nowak:2 Weterynarze-Lena Osińska:1 	{"kon":6,"dataRozpoczecia":"2025-05-13","opisZdarzenia":"Wrzody"}													
Grot chorował od 7 do 23 kwietnia na grypę.  Stan hodowli: Konie sportowe-Grot:1 Konie hodowlane-Amaltea:2;Juna:3 Konie rekreacyjne-Merlin:4;Oreo:5;Tara:6 Źrebaki-Kulka:7;Buba:8 Kowale-Damian Laskowski:1 Weterynarze-Zofia Śliwa:1;Marek Kania:2 	{"kon":1,"dataRozpoczecia":"2025-04-07","dataZakonczenia":"2025-04-23","opisZdarzenia":"Grypa"}													
Cyklon wczoraj zachorował.  Stan hodowli: Konie sportowe-Wicher:1;Zefir:2;Flash:3;Cyklon:4 Konie hodowlane-Tina:5;Gaja:6;Klementyna:7 Konie rekreacyjne-Bryza:8;Tofik:9;Mustang:10 Źrebaki-Figa:11;Zazu:12;Oliwka:13 Kowale-Wiktor Machowski:1;Kacper Wiśniewski:2 Weterynarze-Anna Kamińska:1;Karol Wrona:2  Dzisiaj jest 11.06.2025	{"kon":4,"dataRozpoczecia":"2025-06-11"}
Dwa tygodnie temu weterynarz stwierdził, że mój Meteor ma ochwat.  Stan hodowli: Konie sportowe-Pegaz:1;Nero:2;Meteor:3 Konie hodowlane-Bella:4;Dalia:5 Konie rekreacyjne-Zara:6;Nela:7;Toffi:8;Luzak:9 Źrebaki-Miki:10 Kowale-Jan Wrona:1 Weterynarze-Tomasz Żuk:1;Dominika Maj:2  Dzisiaj jest 17.05.2025	{"kon":3,"dataRozpoczecia":"2025-05-03","opisZdarzenia":"Ochwat"}
Romek, dziś przyjechał i swierdził że Iskra ma nadwyrężoną tylną lewą noge Stan hodowli: Konie sportowe-Tarant:1;Cień:2 Konie hodowlane-Dalia:3;Aura:4;Fanta:5 Konie rekreacyjne-Zyzio:6;Felka:7;Tolo:8 Źrebaki-Perełka:9;Iskra:10 Kowale-Szymon Bocian:1;Bartek Kuc:2;Roman Leśniak:3 Weterynarze-Hanna Nowicka:1 Dzisiaj jest 14.05.2025	{"kon":10,"dataRozpoczecia":"2025-05-14","opisZdarzenia":"Nadwyrężona tylnia lewa noga"}													
Wicher w zeszłym tygodniu złapał grypę Stan hodowli: Konie sportowe-Grom:1;Wicher:2 Konie hodowlane-Polka:3 Konie rekreacyjne-Mufasa:4;Samba:5;Czarek:6;Mango:7;Lolek:8 Źrebaki-Rino:9;Mini:10 Kowale-Zbigniew Marecki:1 Weterynarze-Iwona Sroka:1 Dzisiaj jest 19.05.2025	{"kon":2,"dataRozpoczecia":"2025-05-19","opisZdarzenia":"Grypa"}													
Czajka wczoraj stwierdziła, że Odi ma wrzody Stan hodowli: Konie sportowe-Bizon:1;Atlas:2;Gina:3 Konie hodowlane-Rumba:4;Klusia:5;Luna:6;Milka:7 Konie rekreacyjne-Teksas:8;Bryza:9;Odi:10 Źrebaki-Fruzia:11;Iskra:12;Kropka:13;Drops:14 Kowale-Paweł Kaczmarek:1;Tomek Zięba:2 Weterynarze-Aleksandra Czajka:1;Marcin Grzelak:2 Dzisiaj jest 11.05.2025	{"kon":10,"dataRozpoczecia":"2025-05-10","opisZdarzenia":"Wrzody"}													
Oliwka kuleje na przednią prawa noge Stan hodowli: Konie sportowe-Neon:1;Radar:2 Konie hodowlane-Kora:3;Gracja:4;Duma:5 Konie rekreacyjne-Bambi:6;Zara:7 Źrebaki-Plamka:8;Leo:9;Oliwka:10 Kowale-Wojciech Wrona:1 Weterynarze-Ewelina Maj:1;Magdalena Mróz:2 Dzisiaj jest 12.03.2025	{"kon":10,"dataRozpoczecia":"2025-03-12","opisZdarzenia":"Kuleje na przednia prawa noge"}													
Lotosowi wczoraj Karol zdiagnozował pruchnice Stan hodowli: Konie sportowe-Hektor:1;Tornado:2;Flash:3;Lotos:4 Konie hodowlane-Mira:5;Gaja:6;Nutka:7;Selina:8 Konie rekreacyjne-Felka:9;Samba:10;Czarek:11;Tofik:12;Nela:13 Źrebaki-Zefir:14;Mała:15;Bąbel:16;Iskra:17;Ptyś:18 Kowale-Michał Kowalski:1;Mikołaj Róg:2;Mateusz Król:3 Weterynarze-Anna Kamińska:1;Zofia Bukowska:2;Karol Sienkiewicz:3 Dzisiaj jest 17.02.2025	{"kon":4,"dataRozpoczecia":"2025-02-17","opisZdarzenia":"Prochnica"}													
