Proszę dodać wpis, że moje konie hodowlane miały odrobaczanie u Dominika Pawlaka 12 maja. Konie nie miały posożytów, następny przegląd za 5 miesięcy.  Stan hodowli: Konie sportowe-Piorun:1;Atlas:2;Simba:3 Konie hodowlane-Kleo:4;Selena:5;Dakota:6;Mira:7 Konie rekreacyjne-Mustang:8;Bryza:9;Felka:10;Merlin:11 Źrebaki-Bąbel:12;Oliwka:13;Figa:14;Zefir:15 Kowale-Rafał Mazur:1;Andrzej Duda:2 Weterynarze-Dominika Pawlak:1	{"konieId":[4,5,6,7],"weterynarz":1,"dataZdarzenia":"2025-05-12","dataWaznosci":"2025-10-12","rodzajZdarzenia":"Odrobaczanie","opisZdarzenia":"Konie nie miały pasożytów, następny przegląd za 5 miesięcy"}				
Dodaj wizytę u dentysty dla Czarka u Kurowskiej na 18 kwietnia.  Stan hodowli: Konie sportowe-Piorun:1;Atlas:2 Konie hodowlane-Kora:3;Milka:4;Gracja:5 Konie rekreacyjne-Lori:6;Tofik:7;Czarek:8 Źrebaki-Iskra:9;Figa:10 Kowale-Michał Kowalski:1;Zbigniew Marecki:2 Weterynarze-Karolina Kurowska:1;Dominika Pawlak:2 	{"konieId":[8],"weterynarz":1,"dataZdarzenia":"2025-04-18","rodzajZdarzenia":"Dentysta"}				
Umówiłem szczepienie dzisiaj dla Borysa u Iwony Michalskiej na 1 czerwca.  Stan hodowli: Konie sportowe-Orion:1;Flash:2;Skra:3;Gina:4 Konie hodowlane-Rumba:5;Róża:6 Konie rekreacyjne-Samba:7;Mustang:8;Borys:9 Źrebaki-Mgiełka:10;Bąbel:11;Plamka:12 Kowale-Jan Wrona:1 Weterynarze-Tomasz Żuk:1;Iwona Michalska:2;Marcin Grzelak:3 	{"konieId":[9],"weterynarz":2,"dataZdarzenia":"2025-06-01","rodzajZdarzenia":"Szczepienie"}				
Proszę zanotuj podanie biotyny Małej przez Ewelinę Maj.  Stan hodowli: Konie sportowe-Zenit:1;Hektor:2 Konie hodowlane-Selena:3;Tina:4;Luna:5;Karma:6 Konie rekreacyjne-Zara:7;Felka:8;Nela:9 Źrebaki-Tosia:10;Drops:11;Leo:12;Oliwka:13;Mała:14 Kowale-Katarzyna Lis:1;Mikołaj Róg:2 Weterynarze-Ewelina Maj:1  Dzisiaj jest 01.01.2025 	{"konieId":[14],"weterynarz":1,"dataZdarzenia":"2025-01-01","rodzajZdarzenia":"Podanie suplementów","opisZdarzenia":"Biotyna"}				
Wczoraj oddałem Radara na badania profilaktyczne u Wrony.  Stan hodowli: Konie sportowe-Tornado:1;Wicher:2;Radar:3;Simba:4 Konie hodowlane-Fanta:5;Bella:6 Konie rekreacyjne-Bambi:7;Luzak:8 Źrebaki-Iskra:9 Kowale-Rafał Gawron:1;Andrzej Duda:2;Janek Kula:3 Weterynarze-Hanna Wrona:1  Dzisiaj jest 31.03.2025.	{"konieId":[3],"weterynarz":1,"dataZdarzenia":"2025-03-30","rodzajZdarzenia":"Inne","opisZdarzenia":"Badanie profilaktyczne"}				
Dzisiaj wszystkie konie sportowe miały dentyste, Czajka patrzyła im w zęby  Stan hodowli: Konie sportowe-Cyklon:1;Lotos:2 Konie hodowlane-Gracja:3;Fala:4 Konie rekreacyjne-Merlin:5 Kowale-Jakub Nowicki:1 Weterynarze-Aleksandra Czajka:1 Dzisiaj jest 12.03.2025	{"konieId":[1,2],"weterynarz":1,"dataZdarzenia":"2025-03-12","rodzajZdarzenia":"Dentysta"}				
Wojtek odrobaczył wczoraj wszystkie konie,stwierdzil ze Zara musi dostać leki Stan hodowli: Konie sportowe-Rubin:1;Atlas:2;Flash:3;Zenit:4 Konie hodowlane-Gaja:5;Tina:6;Milka:7;Klementyna:8 Konie rekreacyjne-Tofik:9;Samba:10;Zara:11;Bryza:12 Źrebaki-Perełka:13;Figa:14;Mgiełka:15 Kowale-Mateusz Król:1 Weterynarze-Wojciech Bryś:1;Dominika Pawlak:2 Dzisiaj jest 12.04.2025	{"konieId":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],"weterynarz":1,"dataZdarzenia":"2025-04-11","dataWaznosci":"2025-10-11","rodzajZdarzenia":"Odrobaczanie","opisZdarzenia":"Zara musiala dostac leki"}				
Dodaj mi prosze informacje ze Patrycja zaszczepiła tydzień temu Neona. Stan hodowli: Konie sportowe-Neon:1 Konie hodowlane-Kleo:2;Aura:3 Konie rekreacyjne-Borys:4;Nela:5;Czarek:6 Źrebaki-Zefir:7;Mała:8;Leo:9 Kowale-Michał Kowalski:1;Radosław Kowal:2 Weterynarze-Patrycja Lewandowska:1 Dzisiaj jest 12.02.2025	{"konieId":[1],"weterynarz":1,"dataZdarzenia":"2025-02-05","dataWaznosci":"2025-08-05","rodzajZdarzenia":"Szczepienie"}				
Konie Hodowlane dostały dziś od Ani Selen. Stan hodowli: Konie sportowe-Hektor:1;Radar:2;Orion:3 Konie hodowlane-Mira:4;Gaja:5;Klementyna:6;Róża:7 Konie rekreacyjne-Lori:8;Merlin:9;Felka:10 Źrebaki-Iskra:11;Plamka:12;Drops:13;Tosia:14 Kowale-Bartek Mądry:1 Weterynarze-Marcin Grzelak:1;Anna Kamińska:2 Dzisiaj jest12.05.2025	{"konieId":[4,5,6,7],"weterynarz":2,"dataZdarzenia":"2025-05-12",,"dataWaznosci":"2025-11-12","rodzajZdarzenia":"Podanie suplementów","opisZdarzenia":"Podano Selen"}				
Żuk zaszczpił dziś Błyska. Stan hodowli: Konie sportowe-Błysk:1;Cyklon:2;Wicher:3;Simba:4;Flash:5 Konie hodowlane-Selena:6;Fanta:7;Milka:8;Aura:9;Bella:10 Konie rekreacyjne-Bambi:11;Czarek:12;Tofik:13;Mustang:14;Luzak:15 Źrebaki-Zefir:16;Figa:17;Oliwka:18;Leo:19;Mgiełka:20 Kowale-Karol Buczek:1;Wiktor Machowski:2;Paweł Kaczmarek:3 Weterynarze-Ewelina Maj:1;Hanna Wrona:2;Tomasz Żuk:3 Dzisiaj jest 14.04.2025	{"konieId":[1],"weterynarz":3,"dataZdarzenia":"2025-04-14","dataWaznosci":"2025-10-14","rodzajZdarzenia":"Szepienie"}				
